"Run","Run ID","metric","step","timestamp","value"
"random_duration_destroy__regret_repair","2ce383960b99437da26fecc3d98fbc44","best_objective","8","1778753707273","'-5260.529372248049"
"random_duration_destroy__regret_repair","2ce383960b99437da26fecc3d98fbc44","best_objective","9","1778753707365","'-5485.324050453092"
"random_duration_destroy__regret_repair","2ce383960b99437da26fecc3d98fbc44","best_objective","10","1778753707438","'-6303.404215655342"
"random_duration_destroy__regret_repair","2ce383960b99437da26fecc3d98fbc44","best_objective","11","1778753707529","'-7830.288537434202"
"random_duration_destroy__regret_repair","2ce383960b99437da26fecc3d98fbc44","best_objective","12","1778753707626","'-9340.132692131327"
"random_duration_destroy__regret_repair","2ce383960b99437da26fecc3d98fbc44","best_objective","13","1778753707735","'-9413.576128079361"
"random_duration_destroy__regret_repair","2ce383960b99437da26fecc3d98fbc44","best_objective","17","1778753708050","'-9549.740228013354"
"random_duration_destroy__regret_repair","2ce383960b99437da26fecc3d98fbc44","best_objective","18","1778753708140","'-9757.399681218576"
"random_duration_destroy__regret_repair","2ce383960b99437da26fecc3d98fbc44","best_objective","19","1778753708223","'-9800.69957349328"
"random_duration_destroy__regret_repair","2ce383960b99437da26fecc3d98fbc44","best_objective","20","1778753708310","'-9922.781365803998"
"random_duration_destroy__regret_repair","2ce383960b99437da26fecc3d98fbc44","best_objective","21","1778753708399","'-10395.759605243291"
"random_duration_destroy__regret_repair","2ce383960b99437da26fecc3d98fbc44","best_objective","23","1778753708606","'-11145.043464516795"
"random_duration_destroy__regret_repair","2ce383960b99437da26fecc3d98fbc44","best_objective","24","1778753708695","'-11212.91810528477"
"random_duration_destroy__regret_repair","2ce383960b99437da26fecc3d98fbc44","best_objective","25","1778753708789","'-11220.797701383732"
"random_duration_destroy__regret_repair","2ce383960b99437da26fecc3d98fbc44","best_objective","26","1778753708890","'-11224.668347016835"
"random_duration_destroy__regret_repair","2ce383960b99437da26fecc3d98fbc44","best_objective","27","1778753708974","'-11244.121688052863"
"random_duration_destroy__regret_repair","2ce383960b99437da26fecc3d98fbc44","best_objective","46","1778753710559","'-11661.830994029477"
"random_duration_destroy__regret_repair","2ce383960b99437da26fecc3d98fbc44","best_objective","48","1778753710724","'-11710.523278151057"
"lowest_objective_contribution_destroy+short_task_clusters_destroy__regret_repair","18bf90b993e34410a4d26777368f177d","best_objective","1","1778753702954","11945.468466165701"
"lowest_objective_contribution_destroy+short_task_clusters_destroy__regret_repair","18bf90b993e34410a4d26777368f177d","best_objective","2","1778753703037","6251.007129824266"
"lowest_objective_contribution_destroy+short_task_clusters_destroy__regret_repair","18bf90b993e34410a4d26777368f177d","best_objective","3","1778753703117","6151.697155715756"
"lowest_objective_contribution_destroy+short_task_clusters_destroy__regret_repair","18bf90b993e34410a4d26777368f177d","best_objective","4","1778753703231","725.8051800997964"
"lowest_objective_contribution_destroy+short_task_clusters_destroy__regret_repair","18bf90b993e34410a4d26777368f177d","best_objective","5","1778753703328","'-1441.5265235064435"
"lowest_objective_contribution_destroy+short_task_clusters_destroy__regret_repair","18bf90b993e34410a4d26777368f177d","best_objective","6","1778753703407","'-2755.9333697254388"
"lowest_objective_contribution_destroy+short_task_clusters_destroy__regret_repair","18bf90b993e34410a4d26777368f177d","best_objective","26","1778753705337","'-4490.464497389987"
"lowest_objective_contribution_destroy+short_task_clusters_destroy__regret_repair","18bf90b993e34410a4d26777368f177d","best_objective","27","1778753705401","'-5099.9418040146975"
"lowest_objective_contribution_destroy__regret_repair","6ec0cb875d304bf1909f2f57600756a4","best_objective","1","1778753698300","'-2545.961178896443"
